filename,iteration,cyclic_complexity,loc,maintainability_index,halstead_volume,halstead_difficulty,halstead_effort,validation_status
952227.py,0,0,7,69.15,51.89,1.88,97.3,ACCEPTED
952227.py,1,0,4,74.45,51.89,1.88,97.3,ACCEPTED
952227.py,2,3,9,66.99,66.61,1.8,119.89,ACCEPTED
952227.py,3,4,8,68.22,64.53,2.0,129.06,ACCEPTED
952227.py,4,3,10,65.84,64.53,2.0,129.06,ACCEPTED
952227.py,5,3,9,66.96,64.53,2.0,129.06,ACCEPTED
952296.py,0,0,20,71.3,182.84,6.3,1151.87,ACCEPTED
952296.py,1,0,14,79.46,104.0,5.1,530.4,REJECTED
954044.py,0,0,12,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,1,0,8,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,2,2,8,100.0,4.75,0.5,2.38,ACCEPTED
954044.py,3,4,14,91.67,4.75,0.5,2.38,ACCEPTED
954044.py,4,5,14,91.53,4.75,0.5,2.38,ACCEPTED
954044.py,5,4,24,95.5,4.75,0.5,2.38,ACCEPTED
956270.py,0,8,24,61.08,45.0,5.0,225.0,ACCEPTED
956270.py,1,4,12,69.31,15.51,1.0,15.51,REJECTED
958432.py,0,9,26,50.71,205.0,4.5,922.5,ACCEPTED
958432.py,1,15,42,48.12,223.85,4.46,998.71,ACCEPTED
958432.py,2,15,35,52.67,91.74,2.69,246.99,ACCEPTED
958432.py,3,15,40,52.4,89.92,2.15,193.68,ACCEPTED
958432.py,4,14,37,52.89,80.0,2.17,173.33,ACCEPTED
958432.py,5,14,37,53.76,62.91,1.65,103.8,ACCEPTED
958436.py,0,4,16,57.83,131.18,4.16,545.23,ACCEPTED
958436.py,1,7,18,57.81,114.2,4.25,485.35,ACCEPTED
958436.py,2,7,18,60.12,97.7,4.38,427.45,ACCEPTED
958436.py,3,9,28,55.63,100.08,3.08,307.93,ACCEPTED
958436.py,4,7,21,64.53,24.0,1.5,36.0,REJECTED
960263.py,0,0,8,69.31,15.51,1.0,15.51,ACCEPTED
960263.py,1,0,9,69.31,15.51,1.0,15.51,ACCEPTED
960263.py,2,4,13,65.01,27.0,1.0,27.0,ACCEPTED
960263.py,3,5,17,63.04,27.0,1.0,27.0,ACCEPTED
960263.py,4,6,17,62.9,27.0,1.0,27.0,ACCEPTED
960263.py,5,6,17,62.9,27.0,1.0,27.0,ACCEPTED
963362.py,0,0,11,62.06,91.38,6.0,548.26,ACCEPTED
963362.py,1,0,12,62.06,91.38,6.0,548.26,ACCEPTED
963362.py,2,0,9,64.78,91.38,6.0,548.26,ACCEPTED
963362.py,3,0,10,64.78,91.38,6.0,548.26,ACCEPTED
963362.py,4,6,18,59.83,112.59,4.5,506.65,ACCEPTED
963362.py,5,6,16,59.83,112.59,4.5,506.65,ACCEPTED
997657.py,0,3,18,57.69,118.94,3.39,403.55,ACCEPTED
997657.py,1,1,13,68.54,15.51,1.0,15.51,ACCEPTED
997657.py,2,1,13,68.54,15.51,1.0,15.51,ACCEPTED
997657.py,3,1,11,70.44,15.51,1.0,15.51,ACCEPTED
997657.py,4,4,14,68.54,15.51,1.0,15.51,ACCEPTED
997657.py,5,5,16,66.96,15.51,1.0,15.51,ACCEPTED
