filename,iteration,cyclic_complexity,loc,maintainability_index,halstead_volume,halstead_difficulty,halstead_effort,validation_status
952227.py,0,0,7,69.15,51.89,1.88,97.3,ACCEPTED
952227.py,1,0,4,74.32,51.89,1.88,97.3,ACCEPTED
952227.py,2,0,5,72.21,51.89,1.88,97.3,ACCEPTED
952227.py,3,0,4,72.91,41.21,2.0,82.42,ACCEPTED
952227.py,4,2,8,68.45,41.21,2.0,82.42,ACCEPTED
952227.py,5,5,12,64.41,55.35,1.88,103.78,ACCEPTED
952296.py,0,0,20,71.3,182.84,6.3,1151.87,ACCEPTED
952296.py,1,0,16,75.09,166.91,5.0,834.54,ACCEPTED
952296.py,2,6,18,72.75,166.91,5.0,834.54,ACCEPTED
952296.py,3,6,12,81.31,166.91,5.0,834.54,ACCEPTED
952296.py,4,4,17,77.31,58.81,4.58,269.55,ACCEPTED
952296.py,5,6,22,60.1,58.81,4.58,269.55,ACCEPTED
954044.py,0,0,12,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,1,0,6,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,2,0,6,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,3,0,6,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,4,0,5,100.0,0.0,0.0,0.0,REJECTED
956270.py,0,8,24,61.08,45.0,5.0,225.0,ACCEPTED
956270.py,1,5,15,65.01,27.0,1.8,48.6,REJECTED
958432.py,0,9,26,50.71,205.0,4.5,922.5,ACCEPTED
958432.py,1,13,30,52.35,146.72,3.5,513.52,ACCEPTED
958432.py,2,14,31,52.77,138.3,4.5,622.36,ACCEPTED
958432.py,3,14,33,52.87,94.01,3.12,293.79,ACCEPTED
958432.py,4,14,32,55.12,50.19,1.5,75.28,ACCEPTED
958432.py,5,14,31,55.12,50.19,1.5,75.28,ACCEPTED
958436.py,0,4,16,57.83,131.18,4.16,545.23,ACCEPTED
958436.py,1,7,23,56.67,100.08,3.08,307.93,ACCEPTED
958436.py,2,6,15,61.09,74.23,3.0,222.69,ACCEPTED
958436.py,3,6,21,60.75,38.04,3.2,121.73,ACCEPTED
958436.py,4,6,20,61.29,38.04,3.2,121.73,ACCEPTED
958436.py,5,6,20,61.29,38.04,3.2,121.73,ACCEPTED
960263.py,0,0,8,69.31,15.51,1.0,15.51,ACCEPTED
960263.py,1,4,17,65.01,27.0,1.0,27.0,ACCEPTED
960263.py,2,5,18,63.65,27.0,1.0,27.0,ACCEPTED
960263.py,3,4,15,63.78,27.0,1.0,27.0,ACCEPTED
960263.py,4,4,12,65.01,27.0,1.0,27.0,ACCEPTED
960263.py,5,4,13,65.01,27.0,1.0,27.0,ACCEPTED
963362.py,0,0,11,62.06,91.38,6.0,548.26,ACCEPTED
963362.py,1,0,12,62.06,91.38,6.0,548.26,ACCEPTED
963362.py,2,6,15,59.83,112.59,4.5,506.65,ACCEPTED
963362.py,3,5,13,62.73,96.0,4.8,460.8,ACCEPTED
963362.py,4,7,17,59.83,112.59,4.5,506.65,ACCEPTED
963362.py,5,7,17,59.83,112.59,4.5,506.65,ACCEPTED
997657.py,0,3,18,57.69,118.94,3.39,403.55,ACCEPTED
997657.py,1,1,11,69.45,15.51,1.0,15.51,ACCEPTED
997657.py,2,1,8,72.82,15.51,1.0,15.51,ACCEPTED
997657.py,3,1,11,69.45,15.51,1.0,15.51,ACCEPTED
997657.py,4,6,18,65.47,15.51,1.0,15.51,ACCEPTED
997657.py,5,7,17,66.83,15.51,1.0,15.51,ACCEPTED
