filename,iteration,cyclic_complexity,loc,maintainability_index,halstead_volume,halstead_difficulty,halstead_effort,validation_status
952227.py,0,0,7,69.15,51.89,1.88,97.3,ACCEPTED
952227.py,1,0,4,74.45,51.89,1.88,97.3,ACCEPTED
952227.py,2,0,3,76.51,25.27,1.2,30.32,ACCEPTED
952227.py,3,0,4,76.51,25.27,1.2,30.32,ACCEPTED
952227.py,4,0,8,69.94,25.27,1.2,30.32,ACCEPTED
952227.py,5,0,5,74.39,25.27,1.2,30.32,ACCEPTED
952296.py,0,0,20,71.3,182.84,6.3,1151.87,ACCEPTED
952296.py,1,0,14,79.78,97.67,4.0,390.69,REJECTED
954044.py,0,0,12,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,1,0,7,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,2,3,9,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,3,4,10,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,4,4,11,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,5,4,10,100.0,0.0,0.0,0.0,ACCEPTED
956270.py,0,8,24,61.08,45.0,5.0,225.0,ACCEPTED
956270.py,1,5,16,65.01,27.0,1.8,48.6,ACCEPTED
956270.py,2,7,18,63.52,27.0,1.8,48.6,ACCEPTED
956270.py,3,7,18,65.2,15.51,1.0,15.51,ACCEPTED
956270.py,4,7,20,64.59,15.51,1.0,15.51,ACCEPTED
956270.py,5,7,20,62.9,27.0,1.8,48.6,ACCEPTED
958432.py,0,9,26,50.71,205.0,4.5,922.5,ACCEPTED
958432.py,1,16,41,49.4,146.72,3.5,513.52,ACCEPTED
958432.py,2,15,39,51.6,89.21,2.5,223.02,ACCEPTED
958432.py,3,16,42,50.84,87.57,2.0,175.14,REJECTED
958436.py,0,4,16,57.83,131.18,4.16,545.23,ACCEPTED
958436.py,1,6,15,60.49,114.2,4.25,485.35,ACCEPTED
958436.py,2,6,14,62.54,97.7,4.38,427.45,ACCEPTED
958436.py,3,6,18,60.21,80.0,3.9,312.0,ACCEPTED
958436.py,4,5,17,61.09,77.71,2.89,224.49,ACCEPTED
958436.py,5,5,17,64.21,44.97,2.29,102.79,ACCEPTED
960263.py,0,0,8,69.31,15.51,1.0,15.51,ACCEPTED
960263.py,1,0,11,69.31,15.51,1.0,15.51,ACCEPTED
960263.py,2,0,11,69.31,15.51,1.0,15.51,ACCEPTED
960263.py,3,0,10,70.31,15.51,1.0,15.51,ACCEPTED
960263.py,4,4,15,65.01,27.0,1.0,27.0,ACCEPTED
960263.py,5,4,14,65.76,27.0,1.0,27.0,ACCEPTED
963362.py,0,0,11,62.06,91.38,6.0,548.26,ACCEPTED
963362.py,1,0,8,64.78,91.38,6.0,548.26,ACCEPTED
963362.py,2,3,12,62.73,96.0,4.8,460.8,ACCEPTED
963362.py,3,6,16,59.83,112.59,4.5,506.65,ACCEPTED
963362.py,4,5,13,62.25,112.59,4.5,506.65,ACCEPTED
963362.py,5,5,13,62.25,112.59,4.5,506.65,ACCEPTED
997657.py,0,3,18,57.69,118.94,3.39,403.55,ACCEPTED
997657.py,1,3,12,67.63,27.0,1.0,27.0,ACCEPTED
997657.py,2,2,10,69.87,27.0,1.0,27.0,ACCEPTED
997657.py,3,2,9,71.14,27.0,1.0,27.0,ACCEPTED
997657.py,4,5,12,68.76,27.0,1.0,27.0,ACCEPTED
997657.py,5,5,14,66.72,27.0,1.0,27.0,REJECTED
