filename,iteration,cyclic_complexity,loc,maintainability_index,halstead_volume,halstead_difficulty,halstead_effort,validation_status
952227.py,0,0,7,69.15,51.89,1.88,97.3,ACCEPTED
952227.py,1,0,7,69.15,51.89,1.88,97.3,ACCEPTED
952227.py,2,0,4,74.45,51.89,1.88,97.3,ACCEPTED
952227.py,3,3,8,70.61,51.89,1.88,97.3,ACCEPTED
952227.py,4,4,14,64.87,51.89,1.88,97.3,ACCEPTED
952227.py,5,4,11,67.89,51.89,1.88,97.3,ACCEPTED
952296.py,0,0,20,71.3,182.84,6.3,1151.87,ACCEPTED
952296.py,1,0,14,80.54,76.15,3.61,274.98,REJECTED
954044.py,0,0,12,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,1,0,6,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,2,3,9,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,3,4,12,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,4,4,12,94.58,4.75,0.5,2.38,ACCEPTED
954044.py,5,4,13,92.53,4.75,0.5,2.38,ACCEPTED
956270.py,0,8,24,61.08,45.0,5.0,225.0,ACCEPTED
956270.py,1,5,15,66.69,15.51,1.0,15.51,ACCEPTED
956270.py,2,7,18,65.2,15.51,1.0,15.51,ACCEPTED
956270.py,3,7,18,65.2,15.51,1.0,15.51,ACCEPTED
956270.py,4,7,18,65.2,15.51,1.0,15.51,ACCEPTED
956270.py,5,7,18,65.2,15.51,1.0,15.51,ACCEPTED
958432.py,0,9,26,50.71,205.0,4.5,922.5,ACCEPTED
958432.py,1,14,36,50.99,146.72,3.5,513.52,ACCEPTED
958432.py,2,16,41,50.22,140.55,5.25,737.91,ACCEPTED
958432.py,3,14,37,51.17,125.1,3.85,481.15,ACCEPTED
958432.py,4,15,37,51.03,125.1,3.85,481.15,ACCEPTED
958432.py,5,14,37,51.55,110.36,3.75,413.86,REJECTED
958436.py,0,4,16,57.83,131.18,4.16,545.23,ACCEPTED
958436.py,1,7,20,57.16,100.08,3.08,307.93,ACCEPTED
958436.py,2,7,22,57.16,100.08,3.08,307.93,ACCEPTED
958436.py,3,7,22,57.16,100.08,3.08,307.93,ACCEPTED
958436.py,4,7,30,57.16,100.08,3.08,307.93,ACCEPTED
958436.py,5,7,30,57.16,100.08,3.08,307.93,ACCEPTED
960263.py,0,0,8,69.31,15.51,1.0,15.51,ACCEPTED
960263.py,1,0,9,69.31,15.51,1.0,15.51,ACCEPTED
960263.py,2,4,14,67.58,15.51,1.0,15.51,ACCEPTED
960263.py,3,6,18,65.34,15.51,1.0,15.51,ACCEPTED
960263.py,4,6,17,65.99,15.51,1.0,15.51,ACCEPTED
960263.py,5,5,11,69.31,15.51,1.0,15.51,ACCEPTED
963362.py,0,0,11,62.06,91.38,6.0,548.26,ACCEPTED
963362.py,1,0,16,62.06,91.38,6.0,548.26,ACCEPTED
963362.py,2,3,12,62.73,96.0,4.8,460.8,ACCEPTED
963362.py,3,6,16,59.83,112.59,4.5,506.65,ACCEPTED
963362.py,4,4,11,64.79,68.53,3.33,228.44,REJECTED
997657.py,0,3,18,57.69,118.94,3.39,403.55,ACCEPTED
997657.py,1,1,12,64.3,57.36,1.83,105.16,ACCEPTED
997657.py,2,4,13,68.41,15.51,1.0,15.51,ACCEPTED
997657.py,3,4,12,69.31,15.51,1.0,15.51,ACCEPTED
997657.py,4,4,12,67.98,24.0,1.5,36.0,ACCEPTED
997657.py,5,4,9,71.36,24.0,1.5,36.0,ACCEPTED
