filename,iteration,cyclic_complexity,loc,maintainability_index,halstead_volume,halstead_difficulty,halstead_effort,validation_status
952227.py,0,0,7,69.15,51.89,1.88,97.3,ACCEPTED
952227.py,1,0,5,74.45,51.89,1.88,97.3,ACCEPTED
952227.py,2,0,3,75.02,41.21,2.0,82.42,ACCEPTED
952227.py,3,0,5,71.18,41.21,2.0,82.42,ACCEPTED
952227.py,4,0,5,71.18,41.21,2.0,82.42,ACCEPTED
952227.py,5,0,5,71.18,41.21,2.0,82.42,ACCEPTED
952296.py,0,0,20,71.3,182.84,6.3,1151.87,ACCEPTED
952296.py,1,0,14,79.46,104.0,5.1,530.4,REJECTED
954044.py,0,0,12,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,1,0,7,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,2,0,7,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,3,0,4,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,4,2,7,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,5,3,8,100.0,0.0,0.0,0.0,ACCEPTED
956270.py,0,8,24,61.08,45.0,5.0,225.0,ACCEPTED
956270.py,1,5,15,65.01,27.0,1.8,48.6,ACCEPTED
956270.py,2,7,19,64.59,15.51,1.0,15.51,ACCEPTED
956270.py,3,7,19,64.59,15.51,1.0,15.51,ACCEPTED
956270.py,4,7,19,64.59,15.51,1.0,15.51,ACCEPTED
956270.py,5,7,17,65.2,15.51,1.0,15.51,ACCEPTED
958432.py,0,9,26,50.71,205.0,4.5,922.5,ACCEPTED
958432.py,1,13,35,49.93,199.18,3.52,701.45,ACCEPTED
958432.py,2,13,29,51.88,152.16,3.0,456.47,ACCEPTED
958432.py,3,14,33,50.88,152.16,3.0,456.47,ACCEPTED
958432.py,4,14,33,52.18,99.4,2.5,248.51,ACCEPTED
958432.py,5,12,34,56.73,101.02,3.0,303.07,REJECTED
958436.py,0,4,16,57.83,131.18,4.16,545.23,ACCEPTED
958436.py,1,7,19,57.81,114.2,4.25,485.35,ACCEPTED
958436.py,2,6,31,59.78,114.2,4.25,485.35,REJECTED
960263.py,0,0,8,69.31,15.51,1.0,15.51,ACCEPTED
960263.py,1,0,9,69.31,15.51,1.0,15.51,ACCEPTED
960263.py,2,4,12,67.58,15.51,1.0,15.51,ACCEPTED
960263.py,3,3,9,70.44,15.51,1.0,15.51,ACCEPTED
960263.py,4,3,8,75.16,4.75,0.5,2.38,ACCEPTED
960263.py,5,4,9,73.9,4.75,0.5,2.38,ACCEPTED
963362.py,0,0,11,62.06,91.38,6.0,548.26,ACCEPTED
963362.py,1,0,9,64.78,91.38,6.0,548.26,ACCEPTED
963362.py,2,0,9,64.78,91.38,6.0,548.26,ACCEPTED
963362.py,3,0,11,64.78,91.38,6.0,548.26,ACCEPTED
963362.py,4,0,11,65.13,81.41,6.0,488.46,ACCEPTED
963362.py,5,0,10,64.83,89.86,6.56,589.7,ACCEPTED
997657.py,0,3,18,57.69,118.94,3.39,403.55,ACCEPTED
997657.py,1,1,11,65.2,57.36,1.83,105.16,ACCEPTED
997657.py,2,4,14,67.58,15.51,1.0,15.51,ACCEPTED
997657.py,3,4,12,69.31,15.51,1.0,15.51,ACCEPTED
997657.py,4,3,12,69.45,15.51,1.0,15.51,ACCEPTED
997657.py,5,4,12,69.31,15.51,1.0,15.51,ACCEPTED
