filename,iteration,cyclic_complexity,loc,maintainability_index,halstead_volume,halstead_difficulty,halstead_effort,validation_status
952227.py,0,0,7,69.15,51.89,1.88,97.3,ACCEPTED
952227.py,1,0,4,74.45,51.89,1.88,97.3,ACCEPTED
952227.py,2,0,3,77.18,51.89,1.88,97.3,ACCEPTED
952227.py,3,4,15,63.15,66.61,1.8,119.89,ACCEPTED
952227.py,4,4,12,65.88,66.61,1.8,119.89,ACCEPTED
952227.py,5,4,9,68.12,66.61,1.8,119.89,ACCEPTED
952296.py,0,0,20,71.3,182.84,6.3,1151.87,ACCEPTED
952296.py,1,0,14,79.46,104.0,5.1,530.4,REJECTED
954044.py,0,0,12,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,1,0,7,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,2,3,10,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,3,3,8,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,4,2,7,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,5,5,16,88.28,4.75,0.5,2.38,ACCEPTED
956270.py,0,8,24,61.08,45.0,5.0,225.0,ACCEPTED
956270.py,1,5,15,66.69,15.51,1.0,15.51,ACCEPTED
956270.py,2,5,15,66.69,15.51,1.0,15.51,ACCEPTED
956270.py,3,5,15,66.69,15.51,1.0,15.51,ACCEPTED
956270.py,4,5,15,66.69,15.51,1.0,15.51,ACCEPTED
956270.py,5,4,14,68.41,15.51,1.0,15.51,ACCEPTED
958432.py,0,9,26,50.71,205.0,4.5,922.5,ACCEPTED
958432.py,1,14,36,52.13,101.02,3.0,303.07,ACCEPTED
958432.py,2,14,35,52.13,101.02,3.0,303.07,ACCEPTED
958432.py,3,14,39,54.29,99.4,2.5,248.51,REJECTED
958436.py,0,4,16,57.83,131.18,4.16,545.23,ACCEPTED
958436.py,1,4,15,60.18,100.08,3.08,307.93,ACCEPTED
958436.py,2,3,14,63.96,38.04,3.2,121.73,ACCEPTED
958436.py,3,3,10,67.58,38.05,2.0,76.11,REJECTED
960263.py,0,0,8,69.31,15.51,1.0,15.51,ACCEPTED
960263.py,1,5,15,64.87,27.0,1.0,27.0,ACCEPTED
960263.py,2,4,10,69.18,15.51,1.0,15.51,ACCEPTED
960263.py,3,3,9,70.31,15.51,1.0,15.51,ACCEPTED
960263.py,4,3,10,69.31,15.51,1.0,15.51,ACCEPTED
960263.py,5,2,9,70.18,15.51,1.0,15.51,ACCEPTED
963362.py,0,0,11,62.06,91.38,6.0,548.26,ACCEPTED
963362.py,1,0,8,64.78,91.38,6.0,548.26,ACCEPTED
963362.py,2,0,9,64.78,91.38,6.0,548.26,ACCEPTED
963362.py,3,3,12,62.73,96.0,4.8,460.8,ACCEPTED
963362.py,4,6,16,59.83,112.59,4.5,506.65,ACCEPTED
963362.py,5,5,15,62.73,96.0,4.8,460.8,ACCEPTED
997657.py,0,3,18,57.69,118.94,3.39,403.55,ACCEPTED
997657.py,1,1,11,69.31,15.51,1.0,15.51,ACCEPTED
997657.py,2,1,11,69.31,15.51,1.0,15.51,ACCEPTED
997657.py,3,4,14,67.58,15.51,1.0,15.51,ACCEPTED
997657.py,4,4,16,67.58,15.51,1.0,15.51,ACCEPTED
997657.py,5,4,15,68.41,15.51,1.0,15.51,REJECTED
