filename,iteration,cyclic_complexity,loc,maintainability_index,halstead_volume,halstead_difficulty,halstead_effort,validation_status
952227.py,0,0,7,69.15,51.89,1.88,97.3,ACCEPTED
952227.py,1,0,4,74.45,51.89,1.88,97.3,ACCEPTED
952227.py,2,0,3,75.02,41.21,2.0,82.42,ACCEPTED
952227.py,3,0,8,69.81,25.27,1.2,30.32,ACCEPTED
952227.py,4,0,8,69.94,25.27,1.2,30.32,ACCEPTED
952227.py,5,0,8,68.45,41.21,2.0,82.42,ACCEPTED
952296.py,0,0,20,71.3,182.84,6.3,1151.87,ACCEPTED
952296.py,1,0,14,79.46,104.0,5.1,530.4,REJECTED
954044.py,0,0,12,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,1,0,8,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,2,2,9,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,3,2,8,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,4,3,13,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,5,4,10,100.0,0.0,0.0,0.0,ACCEPTED
956270.py,0,8,24,61.08,45.0,5.0,225.0,ACCEPTED
956270.py,1,5,15,66.69,15.51,1.0,15.51,ACCEPTED
956270.py,2,5,15,66.69,15.51,1.0,15.51,ACCEPTED
956270.py,3,5,15,66.69,15.51,1.0,15.51,ACCEPTED
956270.py,4,4,14,68.41,15.51,1.0,15.51,ACCEPTED
956270.py,5,2,10,75.16,4.75,0.5,2.38,ACCEPTED
958432.py,0,9,26,50.71,205.0,4.5,922.5,ACCEPTED
958432.py,1,13,32,51.0,203.12,3.94,799.79,ACCEPTED
958432.py,2,14,31,55.59,48.43,1.0,48.43,ACCEPTED
958432.py,3,14,36,55.23,48.43,1.0,48.43,ACCEPTED
958432.py,4,14,36,55.23,48.43,1.0,48.43,ACCEPTED
958432.py,5,14,36,55.23,48.43,1.0,48.43,ACCEPTED
958436.py,0,4,16,57.83,131.18,4.16,545.23,ACCEPTED
958436.py,1,7,22,56.67,100.08,3.08,307.93,ACCEPTED
958436.py,2,3,16,62.13,38.04,3.2,121.73,REJECTED
960263.py,0,0,8,69.31,15.51,1.0,15.51,ACCEPTED
960263.py,1,4,13,65.01,27.0,1.0,27.0,ACCEPTED
960263.py,2,3,9,68.46,28.53,1.5,42.79,ACCEPTED
960263.py,3,3,10,67.46,28.53,1.5,42.79,ACCEPTED
960263.py,4,4,13,66.56,28.53,1.5,42.79,ACCEPTED
960263.py,5,3,9,68.46,28.53,1.5,42.79,ACCEPTED
963362.py,0,0,11,62.06,91.38,6.0,548.26,ACCEPTED
963362.py,1,0,9,64.78,91.38,6.0,548.26,ACCEPTED
963362.py,2,6,16,59.83,112.59,4.5,506.65,ACCEPTED
963362.py,3,5,9,66.53,112.59,4.5,506.65,ACCEPTED
963362.py,4,6,17,58.85,125.1,3.85,481.15,ACCEPTED
963362.py,5,5,13,62.25,112.59,4.5,506.65,ACCEPTED
997657.py,0,3,18,57.69,118.94,3.39,403.55,ACCEPTED
997657.py,1,1,12,64.3,57.36,1.83,105.16,ACCEPTED
997657.py,2,1,10,70.18,15.51,1.0,15.51,ACCEPTED
997657.py,3,1,11,70.31,15.51,1.0,15.51,ACCEPTED
997657.py,4,5,14,68.41,15.51,1.0,15.51,ACCEPTED
997657.py,5,5,15,67.58,15.51,1.0,15.51,ACCEPTED
