filename,iteration,cyclic_complexity,loc,maintainability_index,halstead_volume,halstead_difficulty,halstead_effort,validation_status
952227.py,0,0,7,69.15,51.89,1.88,97.3,ACCEPTED
952227.py,1,0,3,77.18,51.89,1.88,97.3,ACCEPTED
952227.py,2,0,10,65.64,51.89,1.88,97.3,ACCEPTED
952227.py,3,4,10,66.64,51.89,1.88,97.3,ACCEPTED
952227.py,4,3,9,69.02,51.89,1.88,97.3,ACCEPTED
952227.py,5,3,9,69.02,51.89,1.88,97.3,ACCEPTED
952296.py,0,0,20,71.3,182.84,6.3,1151.87,ACCEPTED
952296.py,1,0,14,79.46,104.0,5.1,530.4,REJECTED
954044.py,0,0,12,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,1,0,7,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,2,0,7,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,3,3,9,99.63,4.75,0.5,2.38,ACCEPTED
954044.py,4,4,12,94.58,4.75,0.5,2.38,ACCEPTED
954044.py,5,4,12,94.58,4.75,0.5,2.38,ACCEPTED
956270.py,0,8,24,61.08,45.0,5.0,225.0,ACCEPTED
956270.py,1,5,15,66.69,15.51,1.0,15.51,ACCEPTED
956270.py,2,5,15,66.69,15.51,1.0,15.51,ACCEPTED
956270.py,3,5,15,66.69,15.51,1.0,15.51,ACCEPTED
956270.py,4,7,18,65.2,15.51,1.0,15.51,ACCEPTED
956270.py,5,7,18,63.52,27.0,1.8,48.6,ACCEPTED
958432.py,0,9,26,50.71,205.0,4.5,922.5,ACCEPTED
958432.py,1,13,33,52.83,99.4,2.5,248.51,ACCEPTED
958432.py,2,12,31,55.22,87.57,2.0,175.14,ACCEPTED
958432.py,3,12,33,53.35,87.57,2.0,175.14,REJECTED
958436.py,0,4,16,57.83,131.18,4.16,545.23,ACCEPTED
958436.py,1,7,19,57.67,100.08,3.08,307.93,ACCEPTED
958436.py,2,7,25,57.16,100.08,3.08,307.93,ACCEPTED
958436.py,3,6,21,62.1,53.3,2.5,133.26,REJECTED
960263.py,0,0,8,69.31,15.51,1.0,15.51,ACCEPTED
960263.py,1,0,8,69.31,15.51,1.0,15.51,ACCEPTED
960263.py,2,0,9,69.31,15.51,1.0,15.51,ACCEPTED
960263.py,3,4,12,67.58,15.51,1.0,15.51,ACCEPTED
960263.py,4,4,12,65.76,27.0,1.0,27.0,REJECTED
963362.py,0,0,11,62.06,91.38,6.0,548.26,ACCEPTED
963362.py,1,0,9,64.78,91.38,6.0,548.26,ACCEPTED
963362.py,2,0,9,64.78,91.38,6.0,548.26,ACCEPTED
963362.py,3,0,9,65.13,81.41,6.0,488.46,ACCEPTED
963362.py,4,0,10,65.27,77.71,6.0,466.26,ACCEPTED
963362.py,5,0,13,64.78,91.38,6.0,548.26,ACCEPTED
997657.py,0,3,18,57.69,118.94,3.39,403.55,ACCEPTED
997657.py,1,3,16,64.27,28.53,1.5,42.79,ACCEPTED
997657.py,2,6,18,63.48,28.53,1.5,42.79,ACCEPTED
997657.py,3,6,15,65.6,28.53,1.5,42.79,ACCEPTED
997657.py,4,8,19,63.35,28.53,1.5,42.79,REJECTED
