filename,iteration,cyclic_complexity,loc,maintainability_index,halstead_volume,halstead_difficulty,halstead_effort,validation_status
952227.py,0,0,7,69.15,51.89,1.88,97.3,ACCEPTED
952227.py,1,0,3,77.18,51.89,1.88,97.3,ACCEPTED
952227.py,2,0,4,74.45,51.89,1.88,97.3,ACCEPTED
952227.py,3,0,4,74.53,25.27,1.2,30.32,ACCEPTED
952227.py,4,0,3,75.02,41.21,2.0,82.42,ACCEPTED
952227.py,5,0,5,72.91,41.21,2.0,82.42,ACCEPTED
952296.py,0,0,20,71.3,182.84,6.3,1151.87,ACCEPTED
952296.py,1,0,14,79.46,104.0,5.1,530.4,REJECTED
954044.py,0,0,12,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,1,0,7,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,2,0,4,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,3,0,4,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,4,2,7,100.0,0.0,0.0,0.0,ACCEPTED
954044.py,5,3,12,91.67,4.75,0.5,2.38,ACCEPTED
956270.py,0,8,24,61.08,45.0,5.0,225.0,ACCEPTED
956270.py,1,5,15,66.69,15.51,1.0,15.51,ACCEPTED
956270.py,2,4,12,69.31,15.51,1.0,15.51,REJECTED
958432.py,0,9,26,50.71,205.0,4.5,922.5,ACCEPTED
958432.py,1,13,32,50.01,203.12,3.94,799.79,REJECTED
958436.py,0,4,16,57.83,131.18,4.16,545.23,ACCEPTED
958436.py,1,7,17,58.86,97.7,3.46,338.2,ACCEPTED
958436.py,2,4,23,58.21,100.08,3.08,307.93,ACCEPTED
958436.py,3,7,21,60.73,80.0,2.95,236.36,ACCEPTED
958436.py,4,7,26,56.67,100.08,3.08,307.93,ACCEPTED
958436.py,5,5,17,62.42,50.19,2.25,112.93,REJECTED
960263.py,0,0,8,69.31,15.51,1.0,15.51,ACCEPTED
960263.py,1,4,13,65.01,27.0,1.0,27.0,ACCEPTED
960263.py,2,3,10,69.31,15.51,1.0,15.51,ACCEPTED
960263.py,3,3,10,69.31,15.51,1.0,15.51,ACCEPTED
960263.py,4,4,10,69.18,15.51,1.0,15.51,ACCEPTED
960263.py,5,4,10,69.18,15.51,1.0,15.51,ACCEPTED
963362.py,0,0,11,62.06,91.38,6.0,548.26,ACCEPTED
963362.py,1,7,21,58.07,96.0,4.8,460.8,ACCEPTED
963362.py,2,6,19,60.11,74.01,5.57,412.33,ACCEPTED
963362.py,3,7,19,59.79,96.0,4.8,460.8,ACCEPTED
963362.py,4,7,19,59.79,96.0,4.8,460.8,ACCEPTED
963362.py,5,7,17,59.83,112.59,4.5,506.65,ACCEPTED
997657.py,0,3,18,57.69,118.94,3.39,403.55,ACCEPTED
997657.py,1,1,12,69.31,15.51,1.0,15.51,ACCEPTED
997657.py,2,5,15,64.84,28.53,1.5,42.79,ACCEPTED
997657.py,3,6,14,65.28,41.51,1.5,62.27,ACCEPTED
997657.py,4,5,15,64.59,41.51,1.5,62.27,ACCEPTED
997657.py,5,7,18,61.32,72.0,2.0,144.0,ACCEPTED
